titulo,precio,rating,categoria,en_stock,autores,descripcion
The Girl You Lost,12.29,5,Mystery,1,Giselle Green,"'A moving novel that had me gripped from the start' Bella Andre, New York Times bestselling author of The Sullivans Does the heart ever really forget? When Ava’s partner Will is diagnosed with a terminal brain tumour, the doctors give Will one chance to survive - an operation which means he will lose his recent memory. Ava begs him to take the chance, sure that she can cope with Will forgetting her. After all, they have something very special to live for. But they are also keeping a heart-breaki..."
The Silent Wife,12.34,5,Fiction,1,A. S. A. Harrison,"The New York Times bestselling novel soon to be a major motion picture starring Nicole Kidman, for fans of The Woman in the Window and The Silent Patient. ""I gobbled it down in one sitting."" – Anne Lamott, People Jodi and Todd are at a bad place in their marriage. Much is at stake, including the affluent life they lead in their beautiful waterfront condo in Chicago, as she, the killer, and he, the victim, rush haplessly toward the main event. He is a committed cheater. She lives and breathes den..."
Agnostic: A Spirited Manifesto,12.51,5,Nonfiction,1,Lesley Hazleton,"“Vital” –The New York Times Book Review “Provocative…[Hazleton] paddles the river of doubt with energy and exuberance.” –The Seattle Times A widely admired writer on religion celebrates agnosticism as the most vibrant, engaging—and ultimately the most honest—stance toward the mysteries of existence. One in four Americans reject any affiliation with organized religion, and nearly half of those under thirty describe themselves as “spiritual but not religious.” But as the airwaves resound with the ..."
The Third Wave: An Entrepreneur’s Vision of the Future,12.61,5,Business,1,Steve Case,"Steve Case, co-founder of America Online (AOL) and one of America's most accomplished entrepreneurs, shares a roadmap for how anyone can succeed in a world of rapidly changing technology. We are entering, he explains, a new paradigm called the ""Third Wave"" of the Internet. The first wave saw AOL and other companies lay the foundation for consumers to connect to the Internet. The second wave saw companies like Google and Facebook build on top of the Internet to create search and social networking..."
Walt Disney's Alice in Wonderland,12.96,5,Childrens,1,Teddy Slater,A little girl falls down a rabbit hole and discovers a world of nonsensical characters.
Princess Between Worlds (Wide-Awake Princess #5),13.34,5,Fantasy,1,Autor Desconocido,Sin descripción
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5,Sequential Art,1,Akiko Higashimura,"New York Times bestseller! Named by the American Library Association and the New York Public Library as one of the top young adult books of the year! THE LONG-AWAITED STORY OF FANGIRLS TAKING ON TOKYO! Special large-size 2-in-1 edition of over 400 pages! ""One of the best anime and manga for beginners. Enthusiasm - geeky and otherwise - is power in Princess Jellyfish. Enthusiasm saves the day and paves the road to the future."" - Kotaku ""Princess Jellyfish's ambition is simple: to tell a delightfu..."
Some Women,13.73,5,Womens Fiction,1,WOMEN.,Sin descripción
A Visit from the Goon Squad,14.08,5,Default,1,Jennifer Egan,"WINNER OF THE PULITZER PRIZE FOR FICTION NEW YORK TIMES TOP 10 BOOKS OF 2010 Jennifer Egan's spellbinding novel circles the lives of Bennie Salazar, an ageing former punk rocker and record executive, and Sasha, the troubled young woman he employs. We first meet Sasha in her mid-thirties, on her therapist's couch in New York City, confronting her longstanding compulsion to steal. We meet Bennie at the melancholy nadir of his adult life - divorced, struggling to connect with his nine-year-old son,..."
Roller Girl,14.1,5,Sequential Art,1,Autor Desconocido,Sin descripción
The Epidemic (The Program 0.6),14.44,5,Young Adult,1,Joint United Nations Programme on HIV/AIDS.,On cover: UNAIDS case study. - Dated September 2002
A Gentleman's Position (Society of Gentlemen #3),14.75,5,Romance,1,Jen Turano,"""One of the funniest voices in the inspirational genre.""--Booklist Lucetta Plum is an actress on the rise in New York City, but is forced to abandon her starring role when a fan's interest turns threatening. Lucetta's widowed friend, Abigail Hart, is delighted at the opportunity to meddle in Lucetta's life and promptly whisks her away to her grandson's estate to hide out. Bram Haverstein may appear to simply be a somewhat eccentric gentleman of means, but a mysterious career and a secret fascina..."
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",14.75,5,Humor,1,Allie Brosh,"#1 New York Times Bestseller “Funny and smart as hell” (Bill Gates), Allie Brosh’s Hyperbole and a Half showcases her unique voice, leaping wit, and her ability to capture complex emotions with deceptively simple illustrations. FROM THE PUBLISHER: Every time Allie Brosh posts something new on her hugely popular blog Hyperbole and a Half the internet rejoices. This full-color, beautifully illustrated edition features more than fifty percent new content, with ten never-before-seen essays and one w..."
Disrupted: My Misadventure in the Start-Up Bubble,15.28,5,Nonfiction,1,Dan Lyons,"Dan Lyons was Technology Editor at Newsweek Magazine for years, a magazine writer at the top of his profession. One Friday morning he received a phone call: his job no longer existed. Fifty years old and with a wife and two young kids, Dan was unemployed and facing financial oblivion. Then an idea hit. Dan had long reported on Silicon Valley and the tech explosion. Why not join it? HubSpot, a Boston start-up, was flush with $100 million in venture capital. They offered Dan a pile of stock option..."
Fifty Shades Freed (Fifty Shades #3),15.36,5,Adult Fiction,1,E L James,"The final two books in the phenomenal Fifty Shades trilogy Fifty Shades Darker Daunted by the dark secrets of the tormented young entrepreneur Christian Grey, Ana Steele has broken off their relationship. But when Christian proposes a new arrangement, she cannot resist. Soon she is learning more about the harrowing past of her damaged, driven and demanding Fifty Shades than she ever thought possible. Fifty Shades Freed Anastasia Steele always knew that loving Christian Grey would not be easy, an..."
Batman: The Dark Knight Returns (Batman),15.38,5,Sequential Art,1,"Frank Miller, Klaus Janson, Lynn Varley",Batman comes out of retirement in a dark future.
The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),15.42,5,Poetry,1,William Butler Yeats,"Breathtaking in range, The Collected Poems of W. B. Yeats includes all of the poems authorized by Yeats for inclusion and encompasses the entire arc of his career: reworkings of ancient Irish myths and legends, meditations on youth and old age, whimsical songs of love, and somber poems of life in a nation torn by war and uprising. The Collected Poems of W. B. Yeats includes all of the poems authorized by Yeats for inclusion in his standard canon. Breathtaking in range, it encompasses the entire ..."
Kill the Boy Band,15.52,5,Young Adult,1,Goldy Moldavsky,"Fangirls get a bad rap all the time - people say we're weird, hysterical, obsessed, certifiable. But those people don't understand. Just because we're fangirls, doesn't mean we're crazy. It's important you know that up front. Because everything I'm about to tell you is going to seem . . . well, crazy. From thrilling debut author Goldy Moldavsky comes Kill The Boy Band, a pitch-black, hilarious take on modern fandom and the badass girls who have the power to make - or break - the people we call '..."
Sophie's World,15.94,5,Philosophy,1,Jostein Gaarder,"'A simply wonderful, irresistible book' Daily Telegraph 'An extraordinary achievement' Sunday Times 'Terrifically entertaining and imaginative' Daily Mail Sophie's World introduces us to fourteen-year-old Sophie: a Norwegian highschooler who receives mysterious letters addressed to another girl, asking big questions. But who is the other girl? And who, for that matter, is Sophie herself? To solve the riddle, Sophie embarks on on a fantastic philosophical saga, and as the book hurtles through sev..."
Shiver (The Wolves of Mercy Falls #1),16.23,5,Default,1,Maggie Stiefvater,"From a dazzlingly talented young writer, a haunting and original supernatural romance in the vein of TWILIGHT.For years, Grace has watched the wolves in the woods behind her house. One yellow-eyed wolf--her wolf--is a chilling presence she can't seem to live without. Meanwhile, Sam has lived two lives: In winter, the frozen woods, the protection of the pack, and the silent company of a fearless girl. In summer, a few precious months of being human . . . until the cold makes him shift back again...."
Lady Midnight (The Dark Artifices #1),16.28,5,Default,1,Cassandra Clare,"Includes a short story entitled ""A long conversation."""
"Mother, Can You Not?",16.89,5,Nonfiction,1,Kate Siegel,"Based on the wildly popular Instagram account @CrazyJewishMom, Kate Siegel's essay collection about life with the woman who redefined the term ""helicopter mom."" There is nothing more wonderful than a mother’s love. There is also nothing more annoying. Who else can proudly insist that you’re perfect while simultaneously making you question every career, fashion, and relationship decision you have ever made? No one understands the delicate mother-daughter dynamic better than Kate Siegel—her own mo..."
A Spy's Devotion (The Regency Spies of London #1),16.97,5,Historical Fiction,1,Melanie Dickerson,"In England's Regency era, manners and elegance reign in public life--but behind closed doors treason and deception thrive. Nicholas Langdon is no stranger to reserved civility or bloody barbarity. After suffering a battlefield injury, the wealthy, well-connected British officer returns home to heal--and to fulfill a dying soldier's last wish by delivering his coded diary. At the home of the Wilherns, one of England's most powerful families, Langdon attends a lavish ball where he meets their beau..."
Thirst,17.27,5,Fiction,1,Marina Yuszczuk,"En dos épocas distintas, dos mujeres enfrentan miedos, soledad, mortalidad y un anhelo inquietante que no les permite descansar. Una novela disruptiva que borra los límites del género, de manos de una de las nuevas voces más interesantes del gótico feminista en Latinoamérica. Es el ocaso de las bacanales sangrientas en Europa, del asesinato y los festines sin fin. En el siglo XIX, una vampira llega de Europa a la costa de Buenos Aires, y por segunda vez en su vida observa cómo los pueblos se tra..."
Set Me Free,17.46,5,Young Adult,1,Autor Desconocido,Sin descripción
Booked,17.49,5,Poetry,1,John Dunning,Sin descripción
The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,Spirituality,1,Don Miguel Ruiz,"Now in hardcover, this beloved classic is an enduring keepsake, offering longtime fans and newcomers alike a roadmap for life-changing transformation. “This book by don Miguel Ruiz, simple yet so powerful, has made a tremendous difference in how I think and act in every encounter.”—Oprah Winfrey In The Four Agreements, a perennial bestseller published in dozens of languages worldwide, don Miguel Ruiz reveals the source of self-limiting beliefs that rob us of joy and create needless suffering. Ba..."
The Hobbit (Middle-Earth Universe),17.8,5,Default,1,Robert Foster,"For the millions who have already ventured to Middle-earth—and for the countless others who have yet to embark on the journey—here is the one indispensable A-to-Z guide that brings Tolkien’s universe to life. EVERY CHARACTER From Adaldrida Brandybuck to Zaragamba—every Hobbit, Elf, Dwarf, Man, Orc, and other resident of Middle-earth is vividly described and accurately located in its proper place and time. EVERY PLACE Colorful and detailed descriptions of geographical entries allow you to pick up..."
Counted With the Stars (Out from Egypt #1),17.97,5,Christian Fiction,1,Connilyn Cossette,"A Story of Love, Desperation, and Hope During a Great Biblical Epoch Sold into slavery by her father and forsaken by the man she was supposed to marry, young Egyptian Kiya must serve a mistress who takes pleasure in her humiliation. When terrifying plagues strike Egypt, Kiya is in the middle of it all. To save her older brother and escape the bonds of slavery, Kiya flees with the Hebrews during the Great Exodus. She finds herself utterly dependent on a fearsome God she's only just beginning to l..."
Dark Notes,19.19,5,Erotica,1,Compton READE,Sin descripción
Outlander (Outlander #1),19.67,5,Default,1,Diana Gabaldon,"There’s never been a better time to discover the novels behind the blockbuster Starz original series Outlander. Blending rich historical fiction with riveting adventure and a truly epic love story, here are the first four books of Diana Gabaldon’s New York Times bestselling saga that introduced the world to the brilliant Claire Randall and valiant Highlander Jamie Fraser: OUTLANDER DRAGONFLY IN AMBER VOYAGER DRUMS OF AUTUMN Scottish Highlands, 1945. Claire Randall, a former British combat nurse,..."
The Zombie Room,19.69,5,Default,1,R. D. Ronald,Sin descripción
No One Here Gets Out Alive,20.02,5,Music,1,"Jerry Hopkins, Daniel Sugerman","Here is Jim Morrison in all his complexity-singer, philosopher, poet, delinquent-the brilliant, charismatic, and obsessed seeker who rejected authority in any form, the explorer who probed ""the bounds of reality to see what would happen."" Seven years in the writing, this definitive biography is the work of two men whose empathy and experience with Jim Morrison uniquely prepared them to recount this modern tragedy: Jerry Hopkins, whose famous Presley biography, Elvis, was inspired by Morrison's s..."
Everyday Italian: 125 Simple and Delicious Recipes,20.1,5,Food and Drink,1,Giada De Laurentiis,"In the Food Network star's first book, Giada De Laurentiis helps you put a fabulous Italian dinner on the table tonight, for friends or just for the kids, with a minimum of fuss and a maximum of flavor. Everyday Italian is true to its title: the fresh, simple recipes are incredibly quick and accessible, and also utterly mouth-watering—perfect for everyday cooking. And the book is focused on the real-life considerations of what you actually have in your refrigerator and pantry (no mail-order ingr..."
Team of Rivals: The Political Genius of Abraham Lincoln,20.12,5,Add a comment,1,Doris Kearns Goodwin,"Presents an overview of the presidency of Abraham Lincoln, explaining the genius of his political savvy, and describes the context in which he assigned a cadre of his fiercest rivals as his closest cabinet advisors."
Redeeming Love,20.47,5,Christian Fiction,1,Francine Rivers,"#1 NATIONAL BESTSELLER • NOW A MAJOR MOTION PICTURE • The classic story that has captured the hearts of millions worldwide: a tragically wounded soul, the man called to marry her, and the only love that heals all. “A literary masterpiece, reminding us that God’s love is unconditional.”—Debbie Macomber California’s gold country, 1850. A time when men sold their souls for a bag of gold and women sold their bodies for a place to sleep. Angel expects nothing from men but betrayal. Sold into prostitu..."
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,5,Default,1,Autor Desconocido,Sin descripción
Between Shades of Gray,20.79,5,Historical Fiction,1,Ruta Sepetys,"Between Shades of Gray is a haunting and powerful Second World War novel by Ruta Sepetys That morning, my brother's life was worth a pocket watch . . . One night fifteen-year-old Lina, her mother and young brother are hauled from their home by Soviet guards, thrown into cattle cars and sent away. They are being deported to Siberia. An unimaginable and harrowing journey has begun. Lina doesn't know if she'll ever see her father or her friends again. But she refuses to give up hope. Lina hopes for..."
Adultery,20.88,5,Default,1,Deborah L. Rhode,"Despite declining prohibitions on sexual relationships, Americans are nearly unanimous in condemning marital infidelity. Deborah Rhode explores why. She exposes the harms that criminalizing adultery inflicts—including civil lawsuits, job termination, and loss of child custody—and makes a case for repealing laws against adultery and polygamy."
Voyager (Outlander #3),21.07,5,Historical Fiction,1,Diana Gabaldon,"NEW YORK TIMES BESTSELLER • The third book in Diana Gabaldon’s acclaimed Outlander saga, the basis for the Starz original series. “Triumphant . . . Her use of historical detail and a truly adult love story confirm Gabaldon as a superior writer.”—Publishers Weekly In this rich, vibrant tale, Diana Gabaldon continues the story of Claire Randall and Jamie Fraser that began with the now-classic novel Outlander and continued in Dragonfly in Amber. Sweeping us from the battlefields of eighteenth-centu..."
Beautiful Creatures (Caster Chronicles #1),21.55,5,Default,1,"Kami Garcia, Margaret Stohl","Secrets, strangers, and curses will lure you into the first book of the instant New York Times bestselling contemporary gothic fantasy series, where a stirring paranormal romance unfolds in an isolated southern town. Lena Duchannes is unlike anyone the small Southern town of Gatlin has ever seen, and she's struggling to conceal her power, and a curse that has haunted her family for generations. But even within the overgrown gardens, murky swamps and crumbling graveyards of the forgotten South, a..."
"Saga, Volume 3 (Saga (Collected Editions) #3)",21.57,5,Sequential Art,1,A. G. Howard,"Dive into the darkly enchanting world of A. G. Howard's Splintered series with this complete collection, featuring all three spellbinding novels: Splintered, Unhinged, and Ensnared. This collection is perfect for fans of dark fantasy, romance, and reimagined fairy tales. Immerse yourself in A. G. Howard's lush, imaginative storytelling and experience the magic of Wonderland like never before. Splintered: Follow Alyssa Gardner as she discovers her connection to Alice Liddell, the real-life inspir..."
Born for This: How to Find the Work You Were Meant to Do,21.59,5,Business,1,Chris Guillebeau,"Have you ever met someone with the perfect job? To the outside observer, it seems like they've won the career lottery—that by some stroke of luck or circumstance they've found the one thing they love so much that it doesn't even feel like work—and they're getting paid well to do it. In reality, their good fortune has nothing to do with chance. There’s a method for finding your perfect job, and Chris Guillebeau, the bestselling author of The $100 Startup, has created a practical guide for how to ..."
Blink: The Power of Thinking Without Thinking,21.74,5,Nonfiction,1,Malcolm Gladwell,"Intuition is not some magical property that arises unbidden from the depths of our mind. It is a product of long hours and intelligent design, of meaningful work environments and particular rules and principles. This book shows us how we can hone our instinctive ability to know in an instant, helping us to bring out the best in our thinking and become better decision-makers in our homes, offices and in everyday life. Just as he did with his revolutionary theory of the tipping point, Gladwell rev..."
The Silkworm (Cormoran Strike #2),23.05,5,Mystery,1,"Robert Galbraith, J. K. Rowling","A compulsively readable crime novel with twists at every turn, The Silkworm is the second in the highly acclaimed series featuring Cormoran Strike and his determined young assistant Robin Ellacott."
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5,Nonfiction,1,"Lucy Sheridan, Jo Westwood","There is a cosmic alarm clock going off around the world! #HigherSelfie's aim is to unite all those waking up spiritually in this digital age. This book is a guide to love, connection and kickass surrendered action for young people who have at least a toe in the door of spirituality. With a no-nonsense approach and full of wit and humour, this book shares age-old concepts in a language that is accessible to the modern spiritual audience. Whether you have just bought a yoga mat or have been medit..."
The Elephant Tree,23.82,5,Thriller,1,R D Ronald,"A jagged series of events written with gritty realism. The Elephant Tree transcends stereotypes and challenges the reader’s sense of morality, with shocking plot twists and vivid characters."
Dark Places,23.9,5,Default,1,William Harding,Sin descripción
Mexican Today: New and Rediscovered Recipes for Contemporary Kitchens,24.91,5,Food and Drink,1,Pati Jinich,"Intriguing recipes from the James Beard Award-winning host of PBS's Pati's Mexican Table: ""One of the best Mexican chefs we have here in the United States."" —Jose Andres, founder, World Central Kitchen On her PBS TV series as well as in frequent appearances on shows like The Chew, Pati Jinich, a busy mother of three, has shown a flair for making Mexican cooking irresistibly accessible. In Mexican Today, she shares easy, generous dishes, both traditional ones and her own new spins. Some are regio..."
Chase Me (Paris Nights #2),25.27,5,Romance,1,Autor Desconocido,Sin descripción
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,5,Mystery,1,Mary Ellis,"What Happened on Beale Street is an exciting addition to the Secrets of the South Mysteries from bestselling author Mary Ellis. These standalone, complex crime dramas follow a private investigator's quest to make the world a better place...solving one case at a time. A cryptic plea for help from a childhood friend sends cousins Nate and Nicki Price from New Orleans to Memphis, the home of scrumptious barbecue and soulful blues music. When they arrive at Danny Andre's last known address, they dis..."
The White Queen (The Cousins' War #1),25.91,5,Add a comment,1,Philippa Gregory,Sin descripción
"1,000 Places to See Before You Die",26.08,5,Travel,1,Patricia Schultz,"Describes essential places to see from around the world, offering information on what to find at each spot and the best time to visit."
The Day the Crayons Came Home (Crayons),26.33,5,Childrens,1,Drew Daywalt,"The companion to the #1 blockbuster bestseller, The Day the Crayons Quit! “Highly anticipated (yes, even for adults)” —Entertainment Weekly I'm not sure what it is about this kid Duncan, but his crayons sure are a colorful bunch of characters! Having soothed the hurt feelings of one group who threatened to quit, Duncan now faces a whole new group of crayons asking to be rescued. From Maroon Crayon, who was lost beneath the sofa cushions and then broken in two after Dad sat on him; to poor Turquo..."
Atlas Shrugged,26.58,5,Fiction,1,Ayn Rand,Sin descripción
Gratitude,26.66,5,Nonfiction,1,Rhonda Byrne,"El Secreto es un fenómeno internacional que ha inspirado a millones de personas a transformar su vida. En esta ocasión, El Secreto: El libro de la gratitud constituye una poderosa herramienta para vivir El Secreto a plenitud, atrayendo dicha y armonía a cada aspecto de tu vida. Este precioso libro, lleno de pensamientos inspiradores escritos por Rhonda Byrne, es el escenario perfecto para practicar diariamente el poder de la gratitud, permitiéndote atraer todo lo maravilloso que deseas conseguir..."
Let It Out: A Journey Through Journaling,26.79,5,Nonfiction,1,Katie Dalebout,"“Katie is a powerful example for anyone ready to clear the blocks to the presence of their purpose and light. Apply the practices in this book to any area of your life that needs a shift . . . each time you surrender your inner wisdom to the page, you will experience a miracle.” — Gabrielle Bernstein, New York Times best-selling author of Miracles Now You want change. Maybe your career isn’t what you thought it would be . . . or your relationships aren’t what you had hoped. Perhaps you have a gr..."
The Time Keeper,27.88,5,Fiction,1,Autor Desconocido,Sin descripción
The Haters,27.89,5,Young Adult,1,Jesse Andrews,"A wry and witty new coming-of-age story from the New York Times bestselling author of Me and Earl and the Dying Girl, now an award-winning film. A band. A road trip. A gig that maybe doesn't suck. Corey and Wes are convinced nothing cool can come of their lame summer at jazz camp, when along comes Ash - all blonde hair and brash words - who cracks their world wide open. Finally, something they can't seem to hate. Convinced that a great musician is made on the road, the three friends flee camp an..."
Modern Romance,28.26,5,Add a comment,1,"Michelle Smart, Dani Collins, Tara Pammi, Jackie Ashenden",Red Hot Romances from Mills & Boon!
The Passion of Dolssa,28.32,5,Historical Fiction,1,Julie Berry,"In mid-thirteenth century Provence, Dolssa de Stigata is a fervently religious girl who feels the call to preach, condemned by the Inquisition as an ""unnatural woman,"" and hunted by the Dominican Friar Lucien who fears a resurgence of the Albigensian heresy; Botille is a matchmaker trying to protect her sisters from being branded as gypsies or witches--but when she finds the hunted Dolssa dying on a hillside, she feels compelled to protect her, a decision that may cost her everything."
Les Fleurs du Mal,29.04,5,Poetry,1,Charles Baudelaire,"Extrait : ""UNE CHAROGNE - Rappelez-vous l'objet que nous vîmes, mon âme, Ce beau matin d'été si doux : Au détour d'un sentier une charogne infâme Sur un lit semé de cailloux, Les jambes en l'air, comme une femme lubrique, Brûlante et suant les poisons, Ouvrait d'une façon nonchalante et cynique Son ventre plein d'exhalaisons."""
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,5,Nonfiction,1,Mary J. MacLeod,"For fans of James Herriot and Call the Midwife. A Wall Street Journal Bestseller. Over 100,000 sold. Gaelic fortitude meets a nurse’s compassion in these wonderful true stories from rural Scotland. “Julia MacLeod shares unique and enchanting experiences as a nurse in rural Scotland. Her stories will ring true with every nurse—or anyone—who has ever cared for a family or a community, whether in Scotland or America. Call the Nurse is a delightful read.” —LeAnn Thieman, author Chicken Soup for the ..."
Looking for Lovely: Collecting the Moments that Matter,29.14,5,Nonfiction,1,Annie F. Downs,"“I want you to take every step of your life with excitement for where you are headed. And I want you to feel beautiful and confident as you do.” But how? When the enemy whispers lies that you are not smart enough, pretty enough, or rich enough? Or you are too dumb, too loud, too quiet, too thin, too fat, too much or not enough? What if you don’t have what it takes to be who you really want to be? In Looking for Lovely, Annie F. Downs shares personal stories, biblical truth, and examples of how o..."
The Hunger Games (The Hunger Games #1),29.85,5,Default,1,Suzanne Collins,"Set in a dark vision of the near future, a terrifying reality TV show is taking place. Twelve boys and twelve girls are forced to appear in a live event called The Hunger Games. There is only one rule: kill or be killed. When sixteen-year-old Katniss Everdeen steps forward to take her younger sister's place in the games, she sees it as a death sentence. But Katniss has been close to death before. For her, survival is second nature."
All the Light We Cannot See,29.87,5,Historical,1,Anthony Doerr,"An imaginative and intricate novel inspired by the horrors of World War II and written in short, elegant chapters that explore human nature and the contradictory power of technology."
"At The Existentialist Café: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",29.93,5,Philosophy,1,Sarah Bakewell,"""[This book is] account of one of the twentieth centurys major intellectual movements and the revolutionary thinkers who came to shape it""--Amazon.com."
Frostbite (Vampire Academy #2),29.99,5,Young Adult,1,Richelle Mead,"The second book in the international, number one bestselling Vampire Academy series Winter break turns deadly. . . It’s winter break at St. Vladimir’s, but Rose isn’t feeling the festive spirit. A massive attack has put the school on high alert, and with the Strigoi closing in, the Academy’s not taking any risks... This year, St. Vlad’s annual holiday ski trip is mandatory. With all that’s going on, guy troubles should be the last of Rose’s worries. Only her relationship with the gorgeous, but f..."
God: The Most Unpleasant Character in All Fiction,30.03,5,Religion,1,Dan Barker,"""English ethologist, evolutionary biologist, and writer Richard Dawkins opens Chapter 2 of his bestseller The God Delusion by saying that the God of the Old Testament is ""arguably the most unpleasant character in all fiction"" and goes on to list nineteen negative character traits. Now in God : the Most Unpleasant Character in All Fiction, Dan Barker, a former ordained minister and current atheist, proves that Dawkins was right.""--Jacket."
Mrs. Houdini,30.25,5,Historical Fiction,1,Victoria Kelly,"After her husband Harry dies, Bess Houdini starts noticing everywhere the code he promised hed send her from the great beyond and retraces their remarkable romance, from Coney Island, to Budapest, to Hollywood, in an effort to decipher the urgent message from her husband."
When You Are Engulfed in Flames,30.89,5,Humor,1,Autor Desconocido,Sin descripción
Life,31.58,5,Music,1,Teodoro Manguiat Kalaw,Sin descripción
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,5,Spirituality,1,William Martin,"Change and anger are in the air. “We are the 99%,” “black lives matter,” and “love is love” have become part of the lexicon. Previously unquestioned institutions (police, military, the NSA) are under scrutiny. Heat waves, floods, and earthquakes seem to be increasing. Could there be a silver lining? William Martin turns to the Tao Te Ching and finds that while Taoism is known for its quiet, enigmatic wisdom, the Tao can also have the cleansing force of a rushing river. Martin elucidates these re..."
The Star-Touched Queen,32.3,5,Fantasy,1,Roshani Chokshi,"A lush and vivid story steeped in Indian folklore and mythology, Roshani Chokshi's The Star-touched Queen is a novel that no reader will soon forget. An instant New York Times bestseller! Fate and fortune. Power and passion. What does it take to be the queen of a kingdom when you're only seventeen? Maya is cursed. With a horoscope that promises a marriage of Death and Destruction, she has earned only the scorn and fear of her father's kingdom. Content to follow more scholarly pursuits, her whole..."
The Art of War,33.34,5,Default,1,Sun Tzu,"Widely regarded as ""The Oldest Military Treatise in the World,"" this landmark work covers principles of strategy, tactics, maneuvering, communication, and supplies; the use of terrain, fire, and the seasons of the year; the classification and utilization of spies; the treatment of soldiers, including captives, all have a modern ring to them."
